europages_prod,ecoinvent_prod,finetune_validation,prompt_validation
intermediate layers for cardboard boxes,three and five layered board,no,medium
intermediate layers for cardboard boxes,gypsum fibreboard,no,no
intermediate layers for cardboard boxes,"containerboard, linerboard",no,no
intermediate layers for cardboard boxes,"bottom ash, MSWI[F]-WWT, WW from soft fibreboard production",no,no
intermediate layers for cardboard boxes,"fibreboard, soft, without adhesives",no,no
construction of flues,"ventilation duct, connection piece, steel, 100x50 mm",no,medium
construction of flues,"ventilation duct, steel, 100x50 mm",no,no
construction of flues,"ventilation system, central, 1 x 720 m3/h, steel ducts, with earth tube heat exchanger",no,no
construction of flues,"ventilation system, decentralized, 6 x 120 m3/h, steel ducts",no,no
construction of flues,"ventilation duct, elbow 90°, steel, 100x50 mm",no,no
athlete's diets,protein pea,no,medium
athlete's diets,"protein pea, feed, Swiss integrated production",no,medium
athlete's diets,glucose,no,medium
athlete's diets,"protein pea, Swiss integrated production",no,medium
athlete's diets,"tilapia feed, 24-28% protein",no,medium
3d design,"deep drawing, steel, 38000 kN press, automode",no,no
3d design,"deep drawing, steel, 3500 kN press, automode",no,medium
3d design,"deep drawing, steel, 10000 kN press, automode",no,no
3d design,"deep drawing, steel, 650 kN press, automode",no,no
3d design,"deep drawing, steel, 38000 kN press, single stroke",no,no
"machine tools, special","laser machining, metal, with YAG-laser, 330W power",no,medium
"machine tools, special","machine operation, diesel, < 18.64 kW, high load factor",no,medium
"machine tools, special","metal working machine, unspecified",no,no
"machine tools, special","machine operation, diesel, < 18.64 kW, low load factor",no,medium
"machine tools, special","laser machining, metal, with YAG-laser, 40W power",no,medium
feasibility analysis,airport,no,no
feasibility analysis,"planning, heat and power co-generation unit, 160kW electrical",no,no
feasibility analysis,"deep drawing, steel, 38000 kN press, automode",no,no
feasibility analysis,clay pit infrastructure,no,no
feasibility analysis,"deep drawing, steel, 10000 kN press, automode",no,no
thermal profiling,"heat pump, diffusion absorption, 4kW, future",no,medium
thermal profiling,"heat, diffusion absorption heat pump",no,medium
thermal profiling,"heat, central or small-scale, Jakobsberg",no,no
thermal profiling,"selective coat, copper sheet, physical vapour deposition",no,no
thermal profiling,"selective coat, copper sheet, sputter deposition",no,no
profile grinding machines for woodworking,"metal working machine, unspecified",no,no
profile grinding machines for woodworking,"wood chipping, chipper, mobile, diesel, at forest road",no,no
profile grinding machines for woodworking,"steel removed by drilling, computer numerical controlled",no,no
profile grinding machines for woodworking,"wood chipping, industrial residual wood, stationary electric chipper",no,medium
profile grinding machines for woodworking,"wood chipping, forwarder with terrain chipper, in forest",no,no
pipe working transfer lines,"transmission network, electricity, high voltage",no,no
pipe working transfer lines,"distribution network, electricity, low voltage",no,no
pipe working transfer lines,"sewer grid, rural",no,no
pipe working transfer lines,"sewer grid, 1.6E8l/year, 6 km",no,medium
pipe working transfer lines,"transmission network, electricity, medium voltage",no,no
printing services,"printer, laser, colour",no,no
printing services,paper machine,no,no
printing services,"used printer, laser",no,no
printing services,"printer, laser, black/white",no,no
printing services,"paper mill, integrated",no,no
wine design,"glass wool mat, uncoated, Saint-Gobain ISOVER SA",no,no
wine design,"packaging glass, green",no,medium
wine design,"glass cullet, for Saint-Gobain ISOVER SA",no,no
wine design,"cork, raw",no,medium
wine design,"purse seiner maintenance, wood",no,no
kitchen furniture design studios,"wood preservation facility, oscillating pressure method",no,no
kitchen furniture design studios,"wood preservation facility, vacuum pressure method",no,no
kitchen furniture design studios,"joist, engineered wood",no,no
kitchen furniture design studios,"purse seiner maintenance, wood",no,no
kitchen furniture design studios,"sawnwood, hardwood, raw",no,no
flat products,flat glass factory,no,high
flat products,EUR-flat pallet,no,high
flat products,dairy,no,no
flat products,folding boxboard carton,no,medium
flat products,"flat plate solar collector, Cu absorber",no,high
long products,"protein pea, feed, Swiss integrated production",no,medium
long products,"used long liner, steel",no,no
long products,"protein feed, 100% crude",no,no
long products,"long liner, steel",no,no
long products,"protein pea, Swiss integrated production",no,medium
mim products for medical technology,silicone product,no,medium
mim products for medical technology,"inductor, low value multilayer chip",no,medium
mim products for medical technology,"silicon, multi-Si, casted",no,medium
mim products for medical technology,"solder, paste, Sn63Pb37, for electronics industry",no,no
mim products for medical technology,"inductor, miniature radio frequency chip",no,medium
rubber overmoulding machines,thermoforming of plastic sheets,no,no
rubber overmoulding machines,stretch blow moulding,no,no
rubber overmoulding machines,"extrusion of plastic sheets and thermoforming, inline",no,no
rubber overmoulding machines,"deep drawing, steel, 38000 kN press, automode",no,no
rubber overmoulding machines,paper machine,no,no
blasting technology,blasting,medium,medium
blasting technology,blow moulding,no,no
blasting technology,blast furnace,no,medium
blasting technology,"impact extrusion of steel, cold, initial surface treatment",no,no
blasting technology,titanium,no,no
citrus treatment,"orange, processing grade",no,no
citrus treatment,"orange, fresh grade",no,medium
citrus treatment,lemon,no,no
citrus treatment,mustard,no,no
citrus treatment,"tomato, fresh grade",no,no
property valuers commercial,"land tenure, arable land, measured as carbon net primary productivity, annual crop",no,no
property valuers commercial,"land tenure, arable land, measured as carbon net primary productivity, perennial crop",no,no
property valuers commercial,"operation, computer, desktop, home use",no,no
property valuers commercial,"tillage, harrowing, by offset disc harrow",no,no
property valuers commercial,"residues, MSWI[F]-WWT, WW, average",no,no
ultrasonic soldering iron,titanium,no,no
ultrasonic soldering iron,iron sinter,no,no
ultrasonic soldering iron,"cast iron removed by drilling, computer numerical controlled",no,no
ultrasonic soldering iron,"titanium, triple-melt",no,no
ultrasonic soldering iron,iron sulfate,no,no
coach rental,bus,no,high
coach rental,used bus,no,medium
coach rental,"transport, passenger coach",no,high
coach rental,"maintenance, bus",no,no
coach rental,"maintenance, motor scooter",no,no
"foods, precooked","protein feed, 100% crude",no,no
"foods, precooked",meat and bone meal,no,no
"foods, precooked","fishmeal, 63-65% protein",no,no
"foods, precooked","protein pea, feed, Swiss integrated production",no,medium
"foods, precooked","fishmeal, 65-67% protein",no,no
"clothes, children's",waste yarn and waste textile,no,no
"clothes, children's","textile, nonwoven polypropylene",no,medium
"clothes, children's","textile, nonwoven polyester",no,no
"clothes, children's","yarn, silk",no,medium
"clothes, children's","textile, knit cotton",no,medium
clothes,"textile, silk",no,no
clothes,"textile, nonwoven polyester",no,no
clothes,"textile, nonwoven polypropylene",no,no
clothes,"textile, kenaf",no,medium
clothes,"textile, knit cotton",no,medium
precision machine shops,"metal working machine, unspecified",no,no
precision machine shops,"laser machining, metal, with YAG-laser, 500W power",no,medium
precision machine shops,"laser machining, metal, with YAG-laser, 330W power",no,medium
precision machine shops,"laser machining, metal, with YAG-laser, 200W power",no,medium
precision machine shops,"laser machining, metal, with YAG-laser, 30W power",no,medium
hotel,"building, budget hotel",no,medium
hotel,"building, luxury hotel",no,high
hotel,"building operation, budget hotel",no,medium
hotel,"building operation, luxury hotel",no,medium
hotel,"building, upmarket hotel",no,high
hi-fi system,internet access equipment,no,no
hi-fi system,"electric connector, peripheral type buss",no,no
hi-fi system,"electric connector, peripheral component interconnect buss",no,no
hi-fi system,"electricity, medium voltage",no,no
hi-fi system,"power adapter, for laptop",no,no
industrial piping,"sewer grid, rural",no,no
industrial piping,"polyethylene pipe, DN 200, SDR 41",no,high
industrial piping,"polyethylene pipe, corrugated, DN 75",no,no
industrial piping,"sewer grid, urban",no,no
industrial piping,"sewer grid, 4.7E10l/year, 583 km",no,no
insurance in spain,"transport, passenger car, small size, petrol, EURO 3",no,no
insurance in spain,"transport, passenger car, small size, natural gas, EURO 3",no,no
insurance in spain,"transport, passenger car, medium size, natural gas, EURO 5",no,no
insurance in spain,"transport, passenger car, medium size, petrol, EURO 3",no,no
insurance in spain,"transport, passenger car, medium size, natural gas, EURO 3",no,no
wood lacquering,"wood preservation facility, oscillating pressure method",no,no
wood lacquering,"wood preservation, dipping/immersion method, water-based, indoor use, occasionally wet",no,no
wood lacquering,"wood preservation, dipping/immersion method, water-based, outdoor use, no ground contact",no,no
wood lacquering,"wood preservation, dipping/immersion method, water-based, indoor use, dry",no,no
wood lacquering,"wood preservation, hot/cold dipping, creosote, outdoor use, ground contact",no,no
punching tools,keyboard,no,no
punching tools,"laser machining, metal, with YAG-laser, 500W power",no,medium
punching tools,"laser machining, metal, with YAG-laser, 50W power",no,medium
punching tools,"laser machining, metal, with YAG-laser, 330W power",no,medium
punching tools,"laser machining, metal, with YAG-laser, 60W power",no,medium
childcare articles,milking parlour,no,no
childcare articles,almond,no,no
childcare articles,"paper, melamine impregnated",no,no
childcare articles,dairy,no,no
childcare articles,nylon 6-6,no,no
excavation work,"excavation, skid-steer loader",medium,no
excavation work,"excavation, hydraulic digger",medium,no match
excavation work,"recultivation, dolomite mine",no,no
excavation work,"mine infrastructure, open cast, lignite",no,no
excavation work,dolomite quarry infrastructure,no,no
rail vehicle interior fittings,"cladding, crossbar-pole, aluminium",no,medium
rail vehicle interior fittings,"wood cladding, softwood",no,no
rail vehicle interior fittings,"door, outer, wood-aluminium",no,medium
rail vehicle interior fittings,"used door, outer, wood-aluminium",no,medium
rail vehicle interior fittings,"door, inner, wood",no,no
foam rubber case inserts,"door, inner, wood",no,no
foam rubber case inserts,"exhaust air valve, in-wall housing, plastic/steel, DN 125",no,no
foam rubber case inserts,"sealing tape, aluminium/PE, 50 mm wide",no,no
foam rubber case inserts,"door, outer, wood-aluminium",no,no
foam rubber case inserts,plastic tunnel,no,no
farm vehicles,light commercial vehicle,no,medium
farm vehicles,"transport, tractor and trailer, agricultural",no,high
farm vehicles,"maintenance, light commercial vehicle",no,no
farm vehicles,used light commercial vehicle,no,no
farm vehicles,agricultural trailer,no,no
plastic nets,"nylon 6, glass-filled",no,no
plastic nets,"sealing tape, aluminium/PE, 50 mm wide",no,no
plastic nets,"nylon 6-6, glass-filled",no,no
plastic nets,nylon 6,no,no
plastic nets,floating collar cage,no,no
pasteurisers,"metallization paste, front side",no,no
pasteurisers,"metallization paste, back side",no,no
pasteurisers,"selective coat, copper sheet, sputter deposition",no,no
pasteurisers,"metallization paste, back side, aluminium",no,no
pasteurisers,"printing ink, rotogravure, without solvent, in 55% toluene solution state",no,no
exotic plants,green asparagus,no,no
exotic plants,"asparagus seedling, for planting",no,no
exotic plants,"miscanthus rhizome, for planting",no,no
exotic plants,cauliflower,no,no
exotic plants,"willow stem cutting, for planting",no,no
customised beakers,"carbon fibre reinforced plastic, injection moulded",no,no
customised beakers,"exhaust air valve, in-wall housing, plastic/steel, DN 125",no,no
customised beakers,"used outside air intake stainless steel, DN 370",no,no
customised beakers,"used exhaust air valve in-wall housing, plastic/steel",no,no
customised beakers,clinker,no,no
made-to-measure lounge furniture,"furniture, wooden",medium,medium
