main_activity,clustered,tilt_subsector
agent/ representative,access control equipment,Construction Buildings
agent/ representative,access control system,Construction Buildings
agent/ representative,accessories,Automotive LDV
agent/ representative,accessories for sailing boats,Shipping
agent/ representative,acid oil,Food Related Products
agent/ representative,advice on buying real estate,Other Metals
agent/ representative,advice on selling real estate,Other Transport
agent/ representative,advice$evaluation of current conditions$free quotes,Other Transport
agent/ representative,affiliate marketing agency,Total Energy
agent/ representative,agents,Agriculture & Livestock
agent/ representative,agricultural accessories,Machinery & Equipment
agent/ representative,agricultural equipment,Construction Residential
agent/ representative,agricultural machines,Machinery & Equipment
agent/ representative,agricultural products,Agriculture & Livestock
agent/ representative,agriculture,Agriculture & Livestock
agent/ representative,air filters,Shipping
agent/ representative,"airlines, passenger services",Other Transport
agent/ representative,al products,Food Related Products
agent/ representative,alabaster for construction work,Other Non-metallic Minerals
agent/ representative,amber,Food Related Products
agent/ representative,aprons for cooks,Food Related Products
agent/ representative,auto parts,Construction Residential
agent/ representative,automatic devices for car parks,Construction Buildings
agent/ representative,automatic retractable bollard,Construction Buildings
agent/ representative,automobile dealer,Automotive LDV
agent/ representative,automobile junkyard,Automotive HDV
agent/ representative,autopilot,Shipping
agent/ representative,bakery ovens,Machinery & Equipment
agent/ representative,ball bearing,Construction Residential
agent/ representative,bar,Iron & Steel
agent/ representative,bar equipment,Food Related Products
agent/ representative,bardan autohandel gmbh,Automotive LDV
agent/ representative,bars machinery,Machinery & Equipment
agent/ representative,"bases, inorganic",Agriculture & Livestock
agent/ representative,"bead, wooden",Agriculture & Livestock
agent/ representative,beauty articles,Other Industry
agent/ representative,beauty slimming - fitness health,Food Related Products
agent/ representative,beauty supplies,Other Industry
agent/ representative,beverage additives,Food Related Products
agent/ representative,beverages retail,Food Related Products
agent/ representative,beverages wholesale,Food Related Products
agent/ representative,bidet seats,Construction Residential
agent/ representative,biodynamic agriculture,Agriculture & Livestock
agent/ representative,boat accessory,Shipping
agent/ representative,bottom pressure vessels,Other Transport
agent/ representative,broker,Food Related Products
agent/ representative,bulk used clothes,Other Transport
agent/ representative,bus lines,Other Transport
agent/ representative,bus rental,Other Transport
agent/ representative,business transactions,Shipping
agent/ representative,business travel,Other Transport
agent/ representative,buy car,Automotive LDV
agent/ representative,buying,Machinery & Equipment
agent/ representative,by-products,Total Energy
agent/ representative,cafés equipment,Food Related Products
agent/ representative,cafés machinery,Machinery & Equipment
agent/ representative,camping accessories,Other Transport
agent/ representative,canned food,Food Related Products
agent/ representative,canned vegetable,Food Related Products
agent/ representative,car,Automotive LDV
agent/ representative,car bodyshop,Automotive LDV
agent/ representative,car breakers,Automotive HDV
agent/ representative,car component,Automotive LDV
agent/ representative,car dealer,Automotive LDV
agent/ representative,car dealership,Automotive LDV
agent/ representative,car deodorant,Automotive HDV
agent/ representative,car filters,Machinery & Equipment
agent/ representative,car hire for functions,Other Transport
agent/ representative,car insurance,Automotive HDV
agent/ representative,car park,Construction Buildings
agent/ representative,car parts,Automotive HDV
agent/ representative,car rental,Automotive HDV
agent/ representative,car rental in marbella barcelona car rental with driver in marbella,Other Transport
agent/ representative,car rental with driver marbella malacca tour guide,Other Transport
agent/ representative,car spare part,Automotive HDV
agent/ representative,car workshop,Automotive LDV
agent/ representative,caravans,Automotive LDV
agent/ representative,"cars, electrical parts",Automotive LDV
agent/ representative,cattle food supplements,Agriculture & Livestock
agent/ representative,central purchasing office,Oil Energy
agent/ representative,ceramics for coatings,Construction Buildings
agent/ representative,cereals and grains,Food Related Products
agent/ representative,charter boat rental,Shipping
agent/ representative,chocolate,Food Related Products
agent/ representative,"chocolates, filled",Food Related Products
agent/ representative,clothing,Fishing & Forestry
agent/ representative,coach,Machinery & Equipment
agent/ representative,coach rental,Other Transport
agent/ representative,coaches with toilet,Machinery & Equipment
agent/ representative,coir geotextiles,Construction Residential
agent/ representative,coke,Agriculture & Livestock
agent/ representative,commercial activities,Food Related Products
agent/ representative,commercial intermediate,Oil Energy
agent/ representative,commercial representation service,Other Industry
agent/ representative,components for industrial equipment,Machinery & Equipment
agent/ representative,"compounds, inorganic",Agriculture & Livestock
agent/ representative,condiments,Food Related Products
agent/ representative,construction,Construction Buildings
agent/ representative,construction machinery,Machinery & Equipment
agent/ representative,consulting,Total Energy
agent/ representative,controls for marine equipment,Shipping
agent/ representative,cooks,Food Related Products
