,clustered,ecoinvent_prod,manual_certainty,manual_match_certainty,hard no
0,air conditioning system filters,"air filter, central unit, 600 m3/h",yes,low,
1,commercial vehicle,used light commercial vehicle,yes,high,
2,copper foils,copper-rich materials,yes,low,
3,aeronautical load banks,"aircraft, dedicated freight, long haul",no,no,
4,3d printing,"printer, laser, colour",yes,low,
5,"actuators, electromagnetic","electric motor, vehicle",no,no,
6,compressed cardboard,liquid packaging board container,no,no,
7,construction material hoppers,"packing, clay product",no,no,
8,wine cellar articles,grape,no,no,
9,wine taps,grape,no,no,
10,air freshener,"operation, dried roughage store, cold-air dried, conventional",no,no,
11,agricultural diesel fuel,diesel,yes,medium,
12,agricultural diesel fuel,"diesel, burned in diesel-electric generating set, 10MW",no,no,
13,1-speed electric chain hoists,used electric bicycle,no,no,
14,copper brans,"copper, cathode",no,no,
15,garlic stripper,onion,no,no,
16,14 ct gold jewellery,gold,yes,high,
17,cored wires,"wire drawing, steel",yes,low,
18,agricultural springs,agricultural trailer,no,no,
19,mountain tractors,"tractor, 4-wheel, agricultural",yes,high,
20,construction winches,metal working factory,no,no,
21,gelling agent,"fluorescent whitening agent, distyrylbiphenyl type",yes,high,
22,wines - france,grape,yes,low,
23,gelatins,aubergine,no,no,
24,4-corner blade,"mowing, by rotary mower",no,no,
25,abrasives for deburring,ash from deinking sludge,no,no,
26,air freshener,"dried roughage store, air dried, solar",no,no,
27,german pumps,pump station,no,no,
28,gift photo tiles,ceramic tile,yes,high,
29,gate seals,plastic tunnel,no,no,
30,compressed air tyre lever,"waste, pneumatic tyres",yes,low,
31,windsurfing gear,"wind turbine, 750kW, onshore",no,no,
32,concrete covered poles,"concrete, 25-30MPa",yes,low,
33,agricultural nets,"tractor, 4-wheel, agricultural",no,no,
34,gas fitting,"natural gas, low pressure",no,no,
35,colour sensors,"toner module, laser printer, colour",no,no,
36,compressed air tyre lever,"compressed air, 600 kPa gauge",yes,low,
37,gallettes,esterquat,no,no,
38,mobile laser welding devices,"laser machining, metal, with YAG-laser, 50W power",no,no,
39,wine grapes,grape,yes,high,
40,"wines, jura",grape,yes,low,
41,water buckets,heavy water,no,no,
42,convection oven,cookstove,yes,low,
43,"wines, burgundy",benzyl alcohol,no,no,
44,control relays,"ventilation control and wiring, central unit",no,no,
45,yoga cushion,mattress,no,no,
46,gianduiotti,ferronickel,no,no,
47,convoying chains,"transport, trolleybus",no,no,
48,gas fitting,gas boiler,no,no,
49,gem salt,salt,yes,medium,
50,zamak caps,zircon,no,no,
51,adhesive bumpers,polyurethane adhesive,no,no,
52,1st choice viscose,"fibre, viscose",yes,high,
53,cordless vacuums,"wood preservation facility, vacuum pressure method",no,no,
54,waste disposal plants,sanitary landfill facility,no,no,
55,water repellants for limestone,"limestone, crushed, for mill",no,no,
56,gas storage balloons,synthetic gas,no,no,
57,acrylic glass,acrylic acid,no,no,
58,containers for growing fodder,"used reefer, intermodal shipping container, 40-foot, high-cube",no,no,
59,additives for plastic materials,"waste plastic, mixture",no,no,
60,copper wire,"copper, cathode",no,no,
61,actuator,used motor scooter,no,no,
62,windsurfing gear,"wind turbine, 4.5MW, onshore",no,no,
63,gelatine,pineapple,no,no,
64,wines - austria,"cheese, from cow milk, fresh, unripened",no,no,
65,aged cheeses,"cheese, from cow milk, fresh, unripened",yes,high,
66,white ice-cream machines,paper machine,no,no,
67,container rollers,liquid packaging board container,no,no,
68,24-hour vending machine,building machine,no,no,
69,gabion,zineb,no,no,
70,natural waters,"water, harvested from rainwater",yes,high,
71,wholewheat bread,wheat flour,yes,low,
72,gem salt,potash salt,yes,high,
73,water buckets,water storage,no,no,
74,garden strimmers,"grass, organic",no,no,
75,wood charcoal,"wood ash mixture, pure",no,no,
76,mobile phone chargers,"power adapter, for smartphone",yes,high,
77,abrasive flap wheels,"waste rubber, unspecified",no,no,
78,ginseng extract,"mint seedling, for planting",no,no,
79,mixed-fuel stoves,"coal stove, 5-15kW",yes,medium,
80,zinc alloy,zinc concentrate,no,no,
81,wheat bread,wheat grain,yes,low,
82,mix for special bread,maize flour,no,no,
83,whisky,bark,no,no,
84,young bovine carcass,"mineral supplement, for beef cattle",no,no,
85,nitrile protective gloves,nitrile-compound,no,no,
86,yellow corn,"maize grain, organic",no,no,
87,natural yeasts,fodder yeast,yes,low,
88,"game, deep-frozen","frozen fish sticks, hake",no,no,
89,control panels for heating plants,"heating and sanitary equipment, mini CHP plant",no,no,
90,acacia honey,almond,no,no,
91,cooling tanks,"hot water tank, 600l",yes,low,
92,wine grapes,strawberry,no,no,
93,wines - loire valley,grape,yes,low,
94,coloured glasses,"packaging glass, brown",yes,medium,
95,3d laser scanners,"printer, laser, colour",no,no,
96,acid-resistant cast steel,"aluminium, cast alloy",no,no,
97,additives for dressed pork products,"poultry manure, dried",no,no,
98,wines - languedoc roussillon,grape,yes,low,
99,aerial cables,"cable, unspecified",yes,low,
100,galvanized fence,"zinc coat, coils",yes,low,
101,connector cables,"cable, three-conductor cable",yes,medium,
102,commercial refrigerator cabinets,"control cabinet, heat and power co-generation unit, 160kW electrical",yes,medium,
103,galvanized sheet metal,metal coating facility,no,no,
104,conveyer belts,"transport, trolleybus",no,no,
105,concrete core drills,"concrete, 25-30MPa",no,no,
106,additives for polyurethane,"polyurethane, flexible foam, flame retardant",yes,low,
107,gem salt,"sodium chloride, powder",yes,medium,
108,acial piston motors,"electric motor, electric passenger car",yes,low,
109,connector cables,"cable, ribbon cable, 20-pin, with plugs",yes,medium,
110,glamour glaze sparkled gel,ceramic tile,no,no,
111,advent calendar,"calendering, rigid sheets",no,no,
112,condensed milk,milking,yes,low,
113,cooling lubricants,residue from cooling tower,no,no,
114,aeronautical raw metallic materials,"aluminium, cast alloy",yes,medium,
115,construction winches,"joist, engineered wood",no,no,
116,garden ornaments,horticultural fleece,no,no,
117,1st choice rattan strip,1-pentanol,no,no,
118,"garages, prefabricated",cement factory,no,no,
119,wines - valencia,pulp factory,no,no,
120,"games, garden","potato seed, at farm",no,no,
121,gelatine,aubergine,no,no,
122,gift photo tiles,roof tile,yes,high,
123,gas pressure control units,"natural gas, medium pressure, vehicle grade",no,no,
124,conveyor belts to order,"transport, freight, conveyor belt",yes,high,
125,4wd vehicles,light commercial vehicle,yes,low,
126,actuator,"elevator, hydraulic",no,no,
127,furniture legs,plywood,yes,low,
128,1/4 pallets,EUR-flat pallet,yes,high,
129,zinc,zinc concentrate,no,no,
130,weathering test devices,"titanium zinc plate, without pre-weathering",no,no,
131,containers for cosmetics,"used reefer, intermodal shipping container, 40-foot, high-cube",no,no,
132,wheat hay,wheat bran,no,no,
133,gas mixers,"industrial furnace, natural gas",no,no,
134,waste disposal tank,"waste plastic plaster, for final disposal",no,no,
135,water repellants for marble,"waste cement, hydrated",no,no,
136,wines - new zealand,"cheese, from cow milk, fresh, unripened",no,no,
137,control valve,"exhaust air valve, in-wall housing, plastic/steel, DN 125",yes,medium,
138,conical washers,washing machine,no,no,
139,adhesive friezes,adhesive mortar,no,no,
140,acid-resistant cast steel,scrap steel,yes,medium,
141,young bovine carcass,"manure, solid, cattle",no,no,
142,wines argentina,"molasses, from sugar beet",no,no,
143,mixed juices,strawberry,yes,low,
144,wines - languedoc roussillon,benzyl alcohol,no,no,
145,construction material hoppers,building machine,no,no,
146,2-speed electric chain hoists,used electric bicycle,no,no,
147,non-woven filter materials,"textile, nonwoven polyester",yes,low,
148,gas mixers,synthetic gas factory,no,no,
149,condensed milk,"skimmed milk, from cow milk",yes,low,
150,wine on the tap,tap water,no,no,
151,gift items in gold,silver,no,no,
152,water guns,water storage,no,no,
153,"compounds, inorganic","solvent, organic",no,no,
154,cooking hobs,coconut husk,no,no,
155,conveyor belt drums,conveyor belt,yes,low,
156,zootechnical feed,"soybean, feed",yes,low,
157,multigrain bread,wheat flour,yes,low,
158,acid oil,sulfuric acid,no,no,
159,contact tubes for annealing,evacuated tube collector,no,no,
160,"galvanised tubes, galvanised tube",tube insulation factory,no,no,
161,copper coated tanks,copper carbonate,yes,low,
162,wines sicily,grape,yes,low,
163,national wood,"sawnwood, hardwood, raw",yes,low,
164,air circulators,"ventilation system, decentralized, 6 x 120 m3/h, polyethylene ducts",no,no,
165,components for mandrels,electronic component factory,no,no,
166,copper brans,wheat bran,no,no,
167,galvanizing kettles,"coal stove, 5-15kW",no,no,
168,napkins,tissue paper,no,no,
169,gas teppanyaki grill,coal gas,no,no,
170,garden furniture,"wooden board factory, organic bonded boards",no,no,
171,cooling towers,"operation, reefer, cooling",no,no,
172,concrete stones,cement mortar,yes,low,
173,"additives, pigments","selective coat, aluminium sheet, nickel pigmented aluminium oxide",no,no,
174,composition plants,"wheat grain, feed, organic",yes,medium,
175,copper foils,"copper, cathode",no,no,
176,adjustable speed control motors,"electric motor, for electric scooter",yes,low,
177,compression springs,hydraulic digger,no,no,
178,"galvanised tubes, galvanised tube","casting, brass",no,no,
179,"additives, pigments",solvent for paint,no,no,
180,coloured glasses,foam glass,yes,medium,
181,waste disposal plants,municipal solid waste,yes,low,
182,water pistols,heavy water,no,no,
183,convertible roofs,concrete roof tile,yes,low,
184,cooked salami,polyacrylamide,no,no,
185,mozzarella,"cheese, from cow milk, fresh, unripened",yes,low,
186,air flow meter,"compressed air, 1200 kPa gauge",no,no,
187,agricultural canvas,planting,no,no,
188,young wine,grape,yes,low,
189,nitrous oxide,nitrous oxide,yes,high,
190,wines - france,benzyl alcohol,no,no,
191,container rollers,container ship,no,no,
192,aerial cables,"cable, three-conductor cable",no,no,
193,wine vinegar,grape,no,no,
194,actuator connectors,"electric connector, peripheral component interconnect buss",yes,low,
195,game-bags,"purse seiner, wood",no,no,
196,gas bottle,natural gas liquids,no,no,
